Ref,Val,Package,PosX,PosY,Rot,Side
"C3","10uf","D_0805_2012Metric",188.795216,-175.245216,315.000000,bottom
"C4","10nf","D_0805_2012Metric",156.159200,-173.939200,180.000000,bottom
"C5","4.7uf","D_0805_2012Metric",144.600000,-169.200000,90.000000,bottom
"C6","4.7uf","D_0805_2012Metric",179.794784,-182.409216,315.000000,bottom
"C7","100nf","D_0805_2012Metric",185.275216,-171.825216,315.000000,bottom
"C8","100nf","D_0805_2012Metric",177.088800,-164.998400,315.000000,bottom
"C9","100nf","D_0805_2012Metric",166.420800,-178.968400,315.000000,bottom
"D1"," ","D_0805_2012Metric",111.125000,-106.925000,90.000000,bottom
"D2"," ","D_0805_2012Metric",109.537500,-102.393750,90.000000,bottom
"D3"," ","D_0805_2012Metric",112.712500,-102.393750,90.000000,bottom
"D4"," ","D_0805_2012Metric",131.762500,-102.393750,90.000000,bottom
"D5"," ","D_0805_2012Metric",150.812500,-102.393750,90.000000,bottom
"D6"," ","D_0805_2012Metric",169.862500,-102.393750,90.000000,bottom
"D7"," ","D_0805_2012Metric",188.912500,-102.393750,90.000000,bottom
"D8"," ","D_0805_2012Metric",207.962500,-102.393750,90.000000,bottom
"D9"," ","D_0805_2012Metric",227.012500,-102.393750,90.000000,bottom
"D10"," ","D_0805_2012Metric",246.062500,-102.393750,90.000000,bottom
"D11"," ","D_0805_2012Metric",265.112500,-102.393750,90.000000,bottom
"D12"," ","D_0805_2012Metric",284.162500,-102.393750,90.000000,bottom
"D13"," ","D_0805_2012Metric",303.212500,-102.393750,90.000000,bottom
"D14"," ","D_0805_2012Metric",322.262500,-102.393750,90.000000,bottom
"D15"," ","D_0805_2012Metric",79.375000,-121.443750,90.000000,bottom
"D16"," ","D_0805_2012Metric",103.187500,-121.443750,90.000000,bottom
"D17"," ","D_0805_2012Metric",122.237500,-121.443750,90.000000,bottom
"D18"," ","D_0805_2012Metric",141.287500,-121.443750,90.000000,bottom
"D19"," ","D_0805_2012Metric",160.337500,-121.443750,90.000000,bottom
"D20"," ","D_0805_2012Metric",179.387500,-121.443750,90.000000,bottom
"D21"," ","D_0805_2012Metric",198.437500,-121.443750,90.000000,bottom
"D22"," ","D_0805_2012Metric",217.487500,-121.443750,90.000000,bottom
"D23"," ","D_0805_2012Metric",236.537500,-121.443750,90.000000,bottom
"D24"," ","D_0805_2012Metric",255.587500,-121.443750,90.000000,bottom
"D25"," ","D_0805_2012Metric",274.637500,-121.443750,90.000000,bottom
"D26"," ","D_0805_2012Metric",293.687500,-121.443750,90.000000,bottom
"D27"," ","D_0805_2012Metric",312.737500,-121.443750,90.000000,bottom
"D28"," ","D_0805_2012Metric",333.375000,-121.430000,90.000000,bottom
"D29"," ","D_0805_2012Metric",76.993750,-140.493750,90.000000,bottom
"D30"," ","D_0805_2012Metric",107.950000,-140.493750,90.000000,bottom
"D31"," ","D_0805_2012Metric",127.000000,-140.493750,90.000000,bottom
"D32"," ","D_0805_2012Metric",146.050000,-140.493750,90.000000,bottom
"D33"," ","D_0805_2012Metric",165.100000,-140.493750,90.000000,bottom
"D34"," ","D_0805_2012Metric",184.150000,-140.493750,90.000000,bottom
"D35"," ","D_0805_2012Metric",203.200000,-140.493750,90.000000,bottom
"D36"," ","D_0805_2012Metric",222.250000,-140.493750,90.000000,bottom
"D37"," ","D_0805_2012Metric",241.300000,-140.493750,90.000000,bottom
"D38"," ","D_0805_2012Metric",260.350000,-140.493750,90.000000,bottom
"D39"," ","D_0805_2012Metric",279.400000,-140.493750,90.000000,bottom
"D40"," ","D_0805_2012Metric",298.450000,-140.493750,90.000000,bottom
"D42"," ","D_0805_2012Metric",316.706250,-140.493750,90.000000,bottom
"D43"," ","D_0805_2012Metric",76.993750,-159.543750,90.000000,bottom
"D44"," ","D_0805_2012Metric",114.300000,-159.543750,90.000000,bottom
"D45"," ","D_0805_2012Metric",117.475000,-159.543750,90.000000,bottom
"D46"," ","D_0805_2012Metric",136.525000,-159.543750,90.000000,bottom
"D47"," ","D_0805_2012Metric",155.575000,-159.543750,90.000000,bottom
"D48"," ","D_0805_2012Metric",174.625000,-159.543750,90.000000,bottom
"D49"," ","D_0805_2012Metric",193.675000,-159.543750,90.000000,bottom
"D50"," ","D_0805_2012Metric",212.725000,-159.543750,90.000000,bottom
"D51"," ","D_0805_2012Metric",231.775000,-159.543750,90.000000,bottom
"D52"," ","D_0805_2012Metric",250.825000,-159.543750,90.000000,bottom
"D53"," ","D_0805_2012Metric",269.875000,-159.543750,90.000000,bottom
"D54"," ","D_0805_2012Metric",288.925000,-159.543750,90.000000,bottom
"D55"," ","D_0805_2012Metric",315.118750,-159.543750,90.000000,bottom
"D56"," ","D_0805_2012Metric",341.312500,-159.543750,90.000000,bottom
"D57"," ","D_0805_2012Metric",79.375000,-178.593750,90.000000,bottom
"D58"," ","D_0805_2012Metric",103.187500,-178.593750,90.000000,bottom
"D59"," ","D_0805_2012Metric",127.000000,-178.593750,90.000000,bottom
"D60"," ","D_0805_2012Metric",207.962500,-178.593750,90.000000,bottom
"D61"," ","D_0805_2012Metric",288.925000,-178.593750,90.000000,bottom
"D62"," ","D_0805_2012Metric",312.737500,-178.593750,90.000000,bottom
"D63"," ","D_0805_2012Metric",336.550000,-178.593750,90.000000,bottom
"D64"," ","D_0805_2012Metric",345.281250,-111.918750,90.000000,bottom
"DR1","1N4148","D_0805_2012Metric",233.225000,-182.650000,0.000000,bottom
"F1","500ma","Fuse_0805_2012Metric",141.800000,-169.175000,270.000000,bottom
"Q1","BC850","SOT-23",230.700000,-177.900000,90.000000,bottom
"R1","1.5k","R_0805_2012Metric",228.825000,-182.650000,180.000000,bottom
"R2","30k","R_0805_2012Metric",190.975216,-172.985216,315.000000,bottom
"R6","5k1","R_0805_2012Metric",87.420000,-107.820000,90.000000,bottom
"R7","5k1","R_0805_2012Metric",103.020000,-111.215000,90.000000,bottom
"RMX1","330","R_0805_2012Metric",77.673200,-111.912400,0.000000,bottom
"RMX2","330","R_0805_2012Metric",77.622400,-149.961600,180.000000,bottom
"U1","STM32F072CBTx","LQFP-48_7x7mm_P0.5mm",176.200000,-175.550000,135.000000,bottom
"U2","LD3985G33R_TSOT23","SOT-23-5",156.108400,-176.936400,0.000000,bottom
"U3","PRTR5V0U2X","SOT143B",92.050000,-107.505500,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",92.075000,-90.487500,0.000000,bottom
"svg2mod","G***","logotype",215.900000,-140.208000,180.000000,bottom
"svg2mod","G***","CableCarLogo",260.096000,-178.308000,180.000000,bottom
